target,prediction,is_homophone
IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESERT PLATE,True
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,True
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,True
ISLAM ALLOWS POLYGAMY,EL SALVADOR LOWS POLICY,False
HERSELF CURRENTLY LEARNING TO SIGN,HERSELF CONTINUALLY LEARNING TO SIGN,True
WHERE I'M GOING,WHERE AM I GOING,True
BUT TEN YEARS AGO,BUT 10 YEARS AGO,True
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE CROSS,True
THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,THEY DON'T CALL THEM TEAM POCKET ROCKETS FOR NOTHING,True
COURAGE UNDER FIRE,COURAGE AND FIRE,False
THIS IS THE LORD ASHCROFT GALLERY,THIS IS THE LORD ASHKROFT GALLERY,False
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False
TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSLATION,False
SO TEN CUBIC METRES,SO TAKE A METRE RULER,True
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE SECRET,True
MR KHAN SPEAKING,MR CON SPEAKING,True
A TRIBAL NATION,A TRIBLE NATION,False
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,True
PUERTO RICAN STYLE,PERHAPS A RECON STYLE,False
GREAT LEONARD COHEN,GREAT LEARNED COUSIN,False
GRAHAM BARON ASH,GRAHAM BARRON AS,True
THIS IS WHERE THE SURPRISES HAPPEN,THIS IS WHERE THE SURPRISE IS HAPPENING,True
THEY DECIDED TO TIE THE KNOT,THEY DECIDED TO TRY THE NOT,True
WELCOME TO THE TOWER,WELCOME TO THE TOUR,True
NON VIOLENT OFFENCES,NON VIOLENT OFFENSIVES,False
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTES,True
I LOVE SYLLABLES,I LOVE SILHOUETTES,True
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARRIAGE MEMORABILIA,True
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT AFFENDING GOD,True
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 911 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,True
CHILD OF THE MILLENNIUM,CHILD OF THE MALAYA,False
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FASHIONABLE CHOREOGRAPHY EVER SEEN ON THE BOX,True
FACE TO REALLY TELL THE STORY,FACED TO REALLY TELL THE STORY,True
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DIRECTABLE NEIL JONES,True
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY 2,True
RESCUING A DAMSEL IN DISTRESS,REQUESTING A DAMSEL IN DISTRESS,True
THROUGH ANTIBODY DIRECTED THERAPY,THROUGH AN ANTIBODY DIRECTED THERAPY,True
I'M YOUR SIMON COWELL,I'M YOUR SIMON KELL,False
I HASTEN TO ADD,I HAD TO ADD,True
AND THE CHAMPAGNE,AND THE CHAMPION,False
SO TO DO BALLROOM,SO TO DO A BALLROOM,True
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False
AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUERS,True
A PURIFICATION CEREMONY,A PURE AFFECTION CEREMONY,False
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICHOLAS IS DEFINITELY THE LOVE OF MY LIFE,False
THE ROCHELLE TO MY MARVIN,THE ROCKET TO MY MARVIN,True
WITH BILLY NOT BEING YOURS,WITH REALLY NOT BEING YOURS,True
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False
SAUSAGES IN BACON,SAUSAGE IS IN BACON,True
YOU UNFOLD THE BOARD,YOU UNFOLDED THE BOARD,True
MAYBE NOT URANIUM,MAYBE NOT YOUR ANTIQUES,True
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTEDLY COME IN THE STUDIO,True
BECAUSE THEY'VE GOT TO,BECAUSE THEY'VE GOT TWO,True
THE SHEER SIZE AND POWER CAN BE INTIMIDATING,THE SIZE AND POWER CAN BE INTIMIDATING,True
REPRESENTED BY THIS BUNCH OF BANANAS,REPRESENTED BY THIS BUNCH OF BUNNIES,True
NEUTRONS AND ELECTRONS,NEWTONS AND ELECTRONS,False
IN THIS UNIVERSE,IN THIS UNIVERSITY,True
STRETCHING BACK 3,STRETCHING BACK THREE,False
PONDERING THE IMMENSITY,PONDERING THE IMMINENCE,False
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT REPUTATION,False
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,True
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO CONTACT US,True
LET'S JUST CALM DOWN,LET'S JUST COME DOWN,False
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAUGHTER JUST GOT WEIRDER AND WEIRRDER,True
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,True
THIS IS THE BEST BAT HOTEL IN TOWN,THIS IS THE BEST BATH HOTEL IN TOWN,True
AND ON THIS FATEFUL EVENING,AND ON THIS FATAL EVENING,False
AND WITH STEALTH,AND WITH STRENGTH,False
HOW DO I CHOOSE THIS,HOW DO I KNOW THIS,True
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QUEEN MARY AND THE Queen ISABELLA,True
ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ISABELLA,True
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR ME,True
SERBIA IS PANDEMONIUM LET LOOSE,SERBIA IS PANDEMONIUM LET ME TELL YOU,False
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,True
BY SOME MIRACLE,BUY SOME MIRACLE,True
WITH THEIR DATABASE,WITH THEIR DATA BASE,True
I'M JUST SAYING THAT DENISE BROUGHT ME UP,I'M JUST SAYING THAT DENNIS BROUGHT ME UP,False
IS IN THE DRYING,IS IN THE DRIVING,True
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS AND SERVICES GROUP,True
