target,prediction,is_homophone,bertscore_f1
TEARING IT TO THE GROUND,TERRING IT TO THE GROUND,True,0.8559
THERE WAS A PORTCULLIS,THERE WAS A PERKETELLIS,True,0.8823
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False,0.8446
TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHSTAND ON THE VYNE,True,0.9117
IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESERT PLATE,True,0.9492
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False,0.9133
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,True,0.947
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,True,0.9125
ISLAM ALLOWS POLYGAMY,EL SALVADOR LOWS POLICY,False,0.6246
HERSELF CURRENTLY LEARNING TO SIGN,HERSELF CONTINUALLY LEARNING TO SIGN,True,0.8732
WHERE I'M GOING,WHERE AM I GOING,True,0.8469
BUT TEN YEARS AGO,BUT 10 YEARS AGO,True,0.8976
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE CROSS,True,0.975
THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,THEY DON'T CALL THEM TEAM POCKET ROCKETS FOR NOTHING,True,0.9716
COURAGE UNDER FIRE,COURAGE AND FIRE,False,0.862
THIS IS THE LORD ASHCROFT GALLERY,THIS IS THE LORD ASHKROFT GALLERY,False,0.935
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False,0.9607
TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSLATION,False,0.9546
SO TEN CUBIC METRES,SO TAKE A METRE RULER,True,0.71
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE SECRET,True,0.7809
MR KHAN SPEAKING,MR CON SPEAKING,True,0.7704
A TRIBAL NATION,A TRIBLE NATION,False,0.8077
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,True,0.9699
PUERTO RICAN STYLE,PERHAPS A RECON STYLE,False,0.683
GREAT LEONARD COHEN,GREAT LEARNED COUSIN,False,0.7164
GRAHAM BARON ASH,GRAHAM BARRON AS,True,0.8374
THIS IS WHERE THE SURPRISES HAPPEN,THIS IS WHERE THE SURPRISE IS HAPPENING,True,0.9033
THEY DECIDED TO TIE THE KNOT,THEY DECIDED TO TRY THE NOT,True,0.8356
WELCOME TO THE TOWER,WELCOME TO THE TOUR,True,0.8424
NON VIOLENT OFFENCES,NON VIOLENT OFFENSIVES,False,0.953
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTES,True,0.9393
I LOVE SYLLABLES,I LOVE SILHOUETTES,True,0.7609
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARRIAGE MEMORABILIA,True,0.9433
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT AFFENDING GOD,True,0.894
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 911 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,True,0.9578
CHILD OF THE MILLENNIUM,CHILD OF THE MALAYA,False,0.7478
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FASHIONABLE CHOREOGRAPHY EVER SEEN ON THE BOX,True,0.9666
FACE TO REALLY TELL THE STORY,FACED TO REALLY TELL THE STORY,True,0.8788
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False,0.8908
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DIRECTABLE NEIL JONES,True,0.8572
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY 2,True,0.8817
RESCUING A DAMSEL IN DISTRESS,REQUESTING A DAMSEL IN DISTRESS,True,0.8747
THROUGH ANTIBODY DIRECTED THERAPY,THROUGH AN ANTIBODY DIRECTED THERAPY,True,0.9438
I'M YOUR SIMON COWELL,I'M YOUR SIMON KELL,False,0.9314
I HASTEN TO ADD,I HAD TO ADD,True,0.746
AND THE CHAMPAGNE,AND THE CHAMPION,False,0.6672
SO TO DO BALLROOM,SO TO DO A BALLROOM,True,0.9442
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False,0.8781
AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUERS,True,0.9858
A PURIFICATION CEREMONY,A PURE AFFECTION CEREMONY,False,0.8517
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICHOLAS IS DEFINITELY THE LOVE OF MY LIFE,False,0.9288
THE ROCHELLE TO MY MARVIN,THE ROCKET TO MY MARVIN,True,0.8706
WITH BILLY NOT BEING YOURS,WITH REALLY NOT BEING YOURS,True,0.832
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False,0.9474
SAUSAGES IN BACON,SAUSAGE IS IN BACON,True,0.8825
YOU UNFOLD THE BOARD,YOU UNFOLDED THE BOARD,True,0.9532
MAYBE NOT URANIUM,MAYBE NOT YOUR ANTIQUES,True,0.6938
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTEDLY COME IN THE STUDIO,True,0.8754
BECAUSE THEY'VE GOT TO,BECAUSE THEY'VE GOT TWO,True,0.8529
THE SHEER SIZE AND POWER CAN BE INTIMIDATING,THE SIZE AND POWER CAN BE INTIMIDATING,True,0.934
REPRESENTED BY THIS BUNCH OF BANANAS,REPRESENTED BY THIS BUNCH OF BUNNIES,True,0.8897
NEUTRONS AND ELECTRONS,NEWTONS AND ELECTRONS,False,0.8183
IN THIS UNIVERSE,IN THIS UNIVERSITY,True,0.9361
STRETCHING BACK 3,STRETCHING BACK THREE,False,0.9469
PONDERING THE IMMENSITY,PONDERING THE IMMINENCE,False,0.8999
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT REPUTATION,False,0.894
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,True,0.8572
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False,0.9104
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO CONTACT US,True,0.8646
LET'S JUST CALM DOWN,LET'S JUST COME DOWN,False,0.7986
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAUGHTER JUST GOT WEIRDER AND WEIRRDER,True,0.7959
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,True,0.9715
THIS IS THE BEST BAT HOTEL IN TOWN,THIS IS THE BEST BATH HOTEL IN TOWN,True,0.9391
AND ON THIS FATEFUL EVENING,AND ON THIS FATAL EVENING,False,0.8771
AND WITH STEALTH,AND WITH STRENGTH,False,0.8321
HOW DO I CHOOSE THIS,HOW DO I KNOW THIS,True,0.8233
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QUEEN MARY AND THE Queen ISABELLA,True,0.8048
ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ISABELLA,True,0.9208
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR ME,True,0.8702
SERBIA IS PANDEMONIUM LET LOOSE,SERBIA IS PANDEMONIUM LET ME TELL YOU,False,0.8277
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,True,0.9572
BY SOME MIRACLE,BUY SOME MIRACLE,True,0.7863
WITH THEIR DATABASE,WITH THEIR DATA BASE,True,0.8098
I'M JUST SAYING THAT DENISE BROUGHT ME UP,I'M JUST SAYING THAT DENNIS BROUGHT ME UP,False,0.9406
IS IN THE DRYING,IS IN THE DRIVING,True,0.8723
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS AND SERVICES GROUP,True,0.864
