target,prediction,category
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNULLED HIS TITLE AS THE PRINCE OF WALES,Lexical
THE GARRISON RESPONDED WITH A HAIL OF ARROWS,THE GARISON RESPONDED WITH A HAIL OF ARROWS,Other
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,Other
TEARING IT TO THE GROUND,TERRING IT TO THE GROUND,Other
THERE WAS A PORTCULLIS,THERE WAS A PERKETELLIS,Other
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,Homophone
TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHSTAND ON THE VYNE,Lexical
IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESERT PLATE,Homophone
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,Other
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,Other
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,Other
ISLAM ALLOWS POLYGAMY,EL SALVADOR LOWS POLICY,Other
HERSELF CURRENTLY LEARNING TO SIGN,HERSELF CONTINUALLY LEARNING TO SIGN,Lexical
WHERE I'M GOING,WHERE AM I GOING,Contextual
BUT TEN YEARS AGO,BUT 10 YEARS AGO,Other
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE CROSS,Homophone
THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,THEY DON'T CALL THEM TEAM POCKET ROCKETS FOR NOTHING,Contextual
COURAGE UNDER FIRE,COURAGE AND FIRE,Lexical
THIS IS THE LORD ASHCROFT GALLERY,THIS IS THE LORD ASHKROFT GALLERY,Other
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,Other
TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSLATION,Lexical
SO TEN CUBIC METRES,SO TAKE A METRE RULER,Other
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE SECRET,Lexical
MR KHAN SPEAKING,MR CON SPEAKING,Homophone
A TRIBAL NATION,A TRIBLE NATION,Other
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,Contextual
PUERTO RICAN STYLE,PERHAPS A RECON STYLE,Other
GREAT LEONARD COHEN,GREAT LEARNED COUSIN,Homophone
GRAHAM BARON ASH,GRAHAM BARRON AS,Other
THIS IS WHERE THE SURPRISES HAPPEN,THIS IS WHERE THE SURPRISE IS HAPPENING,Contextual
THEY DECIDED TO TIE THE KNOT,THEY DECIDED TO TRY THE NOT,Homophone
WELCOME TO THE TOWER,WELCOME TO THE TOUR,Lexical
NON VIOLENT OFFENCES,NON VIOLENT OFFENSIVES,Lexical
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTES,Other
I LOVE SYLLABLES,I LOVE SILHOUETTES,Lexical
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARRIAGE MEMORABILIA,Lexical
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT AFFENDING GOD,Other
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 911 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,Other
CHILD OF THE MILLENNIUM,CHILD OF THE MALAYA,Other
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FASHIONABLE CHOREOGRAPHY EVER SEEN ON THE BOX,Lexical
FACE TO REALLY TELL THE STORY,FACED TO REALLY TELL THE STORY,Contextual
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,Homophone
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DIRECTABLE NEIL JONES,Lexical
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY 2,Other
RESCUING A DAMSEL IN DISTRESS,REQUESTING A DAMSEL IN DISTRESS,Lexical
THROUGH ANTIBODY DIRECTED THERAPY,THROUGH AN ANTIBODY DIRECTED THERAPY,Contextual
I'M YOUR SIMON COWELL,I'M YOUR SIMON KELL,Other
I HASTEN TO ADD,I HAD TO ADD,Lexical
AND THE CHAMPAGNE,AND THE CHAMPION,Lexical
SO TO DO BALLROOM,SO TO DO A BALLROOM,Contextual
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,Other
AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUERS,Other
A PURIFICATION CEREMONY,A PURE AFFECTION CEREMONY,Other
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICHOLAS IS DEFINITELY THE LOVE OF MY LIFE,Other
THE ROCHELLE TO MY MARVIN,THE ROCKET TO MY MARVIN,Other
WITH BILLY NOT BEING YOURS,WITH REALLY NOT BEING YOURS,Lexical
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,Other
SAUSAGES IN BACON,SAUSAGE IS IN BACON,Contextual
YOU UNFOLD THE BOARD,YOU UNFOLDED THE BOARD,Contextual
MAYBE NOT URANIUM,MAYBE NOT YOUR ANTIQUES,Other
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTEDLY COME IN THE STUDIO,Other
BECAUSE THEY'VE GOT TO,BECAUSE THEY'VE GOT TWO,Homophone
THE SHEER SIZE AND POWER CAN BE INTIMIDATING,THE SIZE AND POWER CAN BE INTIMIDATING,Other
REPRESENTED BY THIS BUNCH OF BANANAS,REPRESENTED BY THIS BUNCH OF BUNNIES,Lexical
NEUTRONS AND ELECTRONS,NEWTONS AND ELECTRONS,Homophone
IN THIS UNIVERSE,IN THIS UNIVERSITY,Lexical
STRETCHING BACK 3,STRETCHING BACK THREE,Other
PONDERING THE IMMENSITY,PONDERING THE IMMINENCE,Lexical
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT REPUTATION,Lexical
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,Lexical
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,Other
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO CONTACT US,Semantic
LET'S JUST CALM DOWN,LET'S JUST COME DOWN,Lexical
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAUGHTER JUST GOT WEIRDER AND WEIRRDER,Lexical
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,Other
THIS IS THE BEST BAT HOTEL IN TOWN,THIS IS THE BEST BATH HOTEL IN TOWN,Lexical
AND ON THIS FATEFUL EVENING,AND ON THIS FATAL EVENING,Lexical
AND WITH STEALTH,AND WITH STRENGTH,Lexical
HOW DO I CHOOSE THIS,HOW DO I KNOW THIS,Lexical
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QUEEN MARY AND THE Queen ISABELLA,Other
ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ISABELLA,Other
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR ME,Lexical
SERBIA IS PANDEMONIUM LET LOOSE,SERBIA IS PANDEMONIUM LET ME TELL YOU,Semantic
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,Other
BY SOME MIRACLE,BUY SOME MIRACLE,Homophone
WITH THEIR DATABASE,WITH THEIR DATA BASE,Other
I'M JUST SAYING THAT DENISE BROUGHT ME UP,I'M JUST SAYING THAT DENNIS BROUGHT ME UP,Other
IS IN THE DRYING,IS IN THE DRIVING,Lexical
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS AND SERVICES GROUP,Other
