target,prediction,is_homophone,cosine_similarity
COURAGE UNDER FIRE,COURAGE AND FIRE,False,0.8749
THIS IS THE LORD ASHCROFT GALLERY,THIS IS THE LORD ASHKROFT GALLERY,False,0.7862
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False,0.8885
TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSLATION,False,0.4935
SO TEN CUBIC METRES,SO TAKE A METRE RULER,True,0.6062
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE SECRET,True,0.1745
MR KHAN SPEAKING,MR CON SPEAKING,True,0.4128
A TRIBAL NATION,A TRIBLE NATION,False,0.545
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,True,0.9752
PUERTO RICAN STYLE,PERHAPS A RECON STYLE,False,0.3172
GREAT LEONARD COHEN,GREAT LEARNED COUSIN,False,0.2945
GRAHAM BARON ASH,GRAHAM BARRON AS,True,0.5001
THIS IS WHERE THE SURPRISES HAPPEN,THIS IS WHERE THE SURPRISE IS HAPPENING,True,0.8671
THEY DECIDED TO TIE THE KNOT,THEY DECIDED TO TRY THE NOT,True,0.3265
WELCOME TO THE TOWER,WELCOME TO THE TOUR,True,0.4741
NON VIOLENT OFFENCES,NON VIOLENT OFFENSIVES,False,0.7578
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTES,True,0.7819
I LOVE SYLLABLES,I LOVE SILHOUETTES,True,0.2864
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARRIAGE MEMORABILIA,True,0.6049
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT AFFENDING GOD,True,0.7627
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 911 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,True,0.9444
CHILD OF THE MILLENNIUM,CHILD OF THE MALAYA,False,0.5718
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FASHIONABLE CHOREOGRAPHY EVER SEEN ON THE BOX,True,0.8063
FACE TO REALLY TELL THE STORY,FACED TO REALLY TELL THE STORY,True,0.8886
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False,0.6804
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DIRECTABLE NEIL JONES,True,0.8515
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY 2,True,0.7812
RESCUING A DAMSEL IN DISTRESS,REQUESTING A DAMSEL IN DISTRESS,True,0.8611
THROUGH ANTIBODY DIRECTED THERAPY,THROUGH AN ANTIBODY DIRECTED THERAPY,True,0.9905
I'M YOUR SIMON COWELL,I'M YOUR SIMON KELL,False,0.7931
I HASTEN TO ADD,I HAD TO ADD,True,0.5924
AND THE CHAMPAGNE,AND THE CHAMPION,False,0.6098
SO TO DO BALLROOM,SO TO DO A BALLROOM,True,0.9671
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False,0.3588
AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUERS,True,0.6726
A PURIFICATION CEREMONY,A PURE AFFECTION CEREMONY,False,0.5247
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICHOLAS IS DEFINITELY THE LOVE OF MY LIFE,False,0.6981
THE ROCHELLE TO MY MARVIN,THE ROCKET TO MY MARVIN,True,0.716
WITH BILLY NOT BEING YOURS,WITH REALLY NOT BEING YOURS,True,0.5364
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False,0.6802
SAUSAGES IN BACON,SAUSAGE IS IN BACON,True,0.9515
YOU UNFOLD THE BOARD,YOU UNFOLDED THE BOARD,True,0.7695
MAYBE NOT URANIUM,MAYBE NOT YOUR ANTIQUES,True,0.3236
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTEDLY COME IN THE STUDIO,True,0.7747
BECAUSE THEY'VE GOT TO,BECAUSE THEY'VE GOT TWO,True,0.7105
THE SHEER SIZE AND POWER CAN BE INTIMIDATING,THE SIZE AND POWER CAN BE INTIMIDATING,True,0.9537
REPRESENTED BY THIS BUNCH OF BANANAS,REPRESENTED BY THIS BUNCH OF BUNNIES,True,0.3964
NEUTRONS AND ELECTRONS,NEWTONS AND ELECTRONS,False,0.5566
IN THIS UNIVERSE,IN THIS UNIVERSITY,True,0.4047
STRETCHING BACK 3,STRETCHING BACK THREE,False,0.9722
PONDERING THE IMMENSITY,PONDERING THE IMMINENCE,False,0.6421
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT REPUTATION,False,0.5324
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,True,0.5166
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False,0.8808
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO CONTACT US,True,0.689
LET'S JUST CALM DOWN,LET'S JUST COME DOWN,False,0.5395
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAUGHTER JUST GOT WEIRDER AND WEIRRDER,True,0.5071
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,True,0.9028
THIS IS THE BEST BAT HOTEL IN TOWN,THIS IS THE BEST BATH HOTEL IN TOWN,True,0.6203
AND ON THIS FATEFUL EVENING,AND ON THIS FATAL EVENING,False,0.8034
AND WITH STEALTH,AND WITH STRENGTH,False,0.6347
HOW DO I CHOOSE THIS,HOW DO I KNOW THIS,True,0.4021
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QUEEN MARY AND THE Queen ISABELLA,True,0.8673
ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ISABELLA,True,0.753
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR ME,True,0.6222
SERBIA IS PANDEMONIUM LET LOOSE,SERBIA IS PANDEMONIUM LET ME TELL YOU,False,0.917
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,True,0.7935
BY SOME MIRACLE,BUY SOME MIRACLE,True,0.6179
WITH THEIR DATABASE,WITH THEIR DATA BASE,True,0.8679
I'M JUST SAYING THAT DENISE BROUGHT ME UP,I'M JUST SAYING THAT DENNIS BROUGHT ME UP,False,0.5325
IS IN THE DRYING,IS IN THE DRIVING,True,0.3003
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS AND SERVICES GROUP,True,0.6654
