row,target,prediction,exact_match,is_homophone,n_subs,n_resolved_by_grammar,homophone_subs,near_homophone_subs,other_subs,grammar_explanations
181,IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,True,True,0,0,0,0,0,
182,ON THE SECOND FLOOR,ON THE SECOND FLOOR,True,False,0,0,0,0,0,
183,IT'S VERY CLEAN,IT'S VERY CLEAN,True,True,0,0,0,0,0,
184,THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLIANCES HAVE BEEN DONE NICELY,True,True,0,0,0,0,0,
185,IT COULD BE YOUR PASSPORT TO A SMALL FORTUNE,IT COULD BE YOUR PASSPORT TO A SMALL FORTUNE,True,True,0,0,0,0,0,
186,IN OTHER WORDS MADE THE BASE,IN OTHER WORDS MADE THE BASE,True,True,0,0,0,0,0,
187,GARAGE AND TECHNO FUNK,GARAGE AND TECHNO FUNK,True,False,0,0,0,0,0,
188,END OF NOVEMBER,END OF NOVEMBER,True,False,0,0,0,0,0,
189,LOOK AT ME AT ALL,LOOK AT ME AT ALL,True,False,0,0,0,0,0,
190,BECAUSE I MUST SAY,BECAUSE I MUST SAY,True,True,0,0,0,0,0,
191,THE FOLLOWING SPRING,THE FOLLOWING SPRING,True,False,0,0,0,0,0,
192,AND THAT'S ALL ABOUT,AND THAT'S ALL ABOUT,True,False,0,0,0,0,0,
193,I TEND TO USE NATURAL BRITISH STONE,I TEND TO USE NATURAL BRITISH STONE,True,True,0,0,0,0,0,
194,IF YOU TRAVEL THE WORLD,IF YOU TRAVEL THE WORLD,True,True,0,0,0,0,0,
195,HERE IN THIS GREENHOUSE AND THE OTHER ONE,HERE IN THIS GREENHOUSE AND THE OTHER ONE,True,True,0,0,0,0,0,
196,AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME,False,False,1,0,0,0,1,
197,IS IT ALL GOOD NEWS,IS IT ALL GOOD NEWS,True,False,0,0,0,0,0,
198,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,True,True,0,0,0,0,0,
199,FREE RANGE GOOD,FREE RANGE GOOD,True,False,0,0,0,0,0,
200,TO MAKE IT WORK,TO MAKE IT WORK,True,True,0,0,0,0,0,
201,VERY FEW REMAIN,VERY FEW REMAIN,True,True,0,0,0,0,0,
202,TAKING IT ALL IN,TAKING IT ALL IN,True,True,0,0,0,0,0,
203,ONE NORTHERN WELSH RULER,ONE NORTHERN WELSH RULER,True,True,0,0,0,0,0,
204,FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNOLLED HIS TITLE AS THE PRINCE OF WALES,False,True,1,0,0,0,1,
205,AND HERE ON TOP OF THE EAGLE TOWER,AND HERE ON TOP OF THE EAGLE TOWER,True,True,0,0,0,0,0,
206,WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY,False,True,1,0,0,0,1,
207,IT WAS A BLANK CANVAS,IT WAS A BLANK CANVAS,True,True,0,0,0,0,0,
208,IN THE FIRST YEAR ALONE,IN THE FIRST YEAR ALONE,True,True,0,0,0,0,0,
209,AS SHE LAY DYING,AS SHE LAY DYING,True,False,0,0,0,0,0,
210,THE GARRISON RESPONDED WITH A HAIL OF ARROWS,THE GARRISON RESPONDED WITH A HAIL OF ARROWS,True,True,0,0,0,0,0,
211,AND WHEN YOU'RE MOVING THROUGH ENEMY TERRITORY,AND WHEN YOU'RE MOVING THROUGH ENEMY TERRITORY,True,True,0,0,0,0,0,
212,THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,False,True,1,0,0,0,1,
213,HE ORDERED THEM BACK INSIDE,HE ORDERED THEM BACK INSIDE,True,False,0,0,0,0,0,
214,YOU DON'T DESERVE MY GRACE,YOU DON'T DESERVE MY GRACE,True,True,0,0,0,0,0,
215,TAKING NO CHANCES,TAKING NO CHANCES,True,True,0,0,0,0,0,
216,TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND,False,True,1,0,0,0,1,
217,THERE WAS A PORTCULLIS,THERE WAS A PERKELLIS,False,True,1,0,0,0,1,
218,PEOPLE SAT ON THE STAIRS,PEOPLE SAT ON THE STAIRS,True,False,0,0,0,0,0,
219,WHICH IS IDEAL FOR IT,WHICH IS IDEAL FOR IT,True,True,0,0,0,0,0,
220,CRACKS WILL APPEAR,CRACKS WILL APPEAR,True,False,0,0,0,0,0,
221,SOMEONE CAME OUT OF A NEIGHBOURING PROPERTY AND SAID,SOMEONE CAME OUT OF A NEIGHBOURING PROPERTY AND SAID,True,False,0,0,0,0,0,
222,VERY EXPENSIVE SHED,VERY EXPENSIVE SHED,True,True,0,0,0,0,0,
223,WITHOUT MY SUNGLASSES,WITHOUT MY SUNGLASSES,True,False,0,0,0,0,0,
224,EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False,False,1,0,0,0,1,
225,AND THEN WHEN IT CAME TO HIS SIGNATURE,AND THEN WHEN IT CAME TO HIS SIGNATURE,True,True,0,0,0,0,0,
226,IT'S A BAKING SHOW,IT'S A BAKING SHOW,True,False,0,0,0,0,0,
227,SHE'S PUSHED HERSELF,SHE'S PUSHED HERSELF,True,False,0,0,0,0,0,
228,IT SOUNDS WRONG,IT SOUNDS WRONG,True,False,0,0,0,0,0,
229,WHAT HAVE YOU LEARNED,WHAT HAVE YOU LEARNED,True,True,0,0,0,0,0,
230,CHILDREN AND ADULTS ALIKE,CHILDREN AND ADULTS ALIKE,True,False,0,0,0,0,0,
231,THAT'S A SHOCKING PERCENTAGE,THAT'S A SHOCKING PERCENTAGE,True,False,0,0,0,0,0,
232,I'M JUST HOPEFUL,I'M JUST HOPEFUL,True,False,0,0,0,0,0,
233,WE HAVE A LOT LESS ATMOSPHERE ABOVE US,WE HAVE A LOT LESS ATMOSPHERE ABOVE US,True,True,0,0,0,0,0,
234,NO LONGER WOULD MEASUREMENT BE BASED ON THE HUMAN BODY,NO LONGER WOULD MEASUREMENT BE BASED ON THE HUMAN BODY,True,True,0,0,0,0,0,
235,NO LONGER DEPENDENT ON THE SUN,NO LONGER DEPENDENT ON THE SUN,True,True,0,0,0,0,0,
236,WHILE I'M SURROUNDED BY WATER RIGHT NOW,WHILE I'M SURROUNDED BY WATER RIGHT NOW,True,True,0,0,0,0,0,
237,OUR CONTINUED PRESSURE,OUR CONTINUED PRESSURE,True,True,0,0,0,0,0,
238,AND INFLAMMATORY PHOTOGRAPH,AND IN FLAMATORY PHOTOGRAPH,False,False,1,0,0,0,1,
