target,prediction,target_phonemes,prediction_phonemes,is_homophone,exact_match,comment,bucket,bucket_reason
BECAUSE IT'S FANTASTIC,BECAUSE IT'S FANTASTIC,B IH K AO Z | IH T S | F AE N T AE S T IH K,B IH K AO Z | IH T S | F AE N T AE S T IH K,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WHAT DO YOU THINK ABOUT THAT,WHAT DO YOU THINK ABOUT THAT,W AH T | D UW | Y UW | TH IH NG K | AH B AW T | DH AE T,W AH T | D UW | Y UW | TH IH NG K | AH B AW T | DH AE T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
HE'S LOOKING TO SELL IT,HE'S LOOKING TO SELL IT,HH IY Z | L UH K IH NG | T UW | S EH L | IH T,HH IY Z | L UH K IH NG | T UW | S EH L | IH T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
IT'S NOT AS EASY AS IT LOOKS,IT'S NOT AS EASY AS IT LOOKS,IH T S | N AA T | AE Z | IY Z IY | AE Z | IH T | L UH K S,IH T S | N AA T | AE Z | IY Z IY | AE Z | IH T | L UH K S,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
STICK TO WHAT YOU'RE GOOD AT,STICK TO WHAT YOU'RE GOOD AT,S T IH K | T UW | W AH T | Y UH R | G UH D | AE T,S T IH K | T UW | W AH T | Y UH R | G UH D | AE T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
THAT IS IMPORTANT,THAT IS IMPORTANT,DH AE T | IH Z | IH M P AO R T AH N T,DH AE T | IH Z | IH M P AO R T AH N T,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
BUT HE DID REALLY WELL,BUT HE DID REALLY WELL,B AH T | HH IY | D IH D | R IH L IY | W EH L,B AH T | HH IY | D IH D | R IH L IY | W EH L,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,AH N D | D UW | W AH T | AY | Y UW Z D | T UW | D UW | W EH N | AY | W AA Z | AH | L IH T AH L | B OY,AH N D | D UW | W AH T | AY | Y UW Z D | T UW | D UW | W EH N | AY | W AA Z | AH | L IH T AH L | B OY,True,True,,homophone_substitution,phoneme overlap 11/11=1.00 (high)
EXCEPT AS A LAST RESORT,EXCEPT AS A LAST RESORT,IH K S EH P T | AE Z | AH | L AE S T | R IH Z AO R T,IH K S EH P T | AE Z | AH | L AE S T | R IH Z AO R T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
YOU NEVER KNOW BY THE END OF THE BUILD,YOU NEVER KNOW BY THE END OF THE BUILD,Y UW | N EH V ER | N OW | B AY | DH AH | EH N D | AH V | DH AH | B IH L D,Y UW | N EH V ER | N OW | B AY | DH AH | EH N D | AH V | DH AH | B IH L D,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
I KNOW IT COMES WITH PLANNING PERMISSION,I KNOW IT COMES WITH PLANNING PERMISSION,AY | N OW | IH T | K AH M Z | W IH DH | P L AE N IH NG | P ER M IH SH AH N,AY | N OW | IH T | K AH M Z | W IH DH | P L AE N IH NG | P ER M IH SH AH N,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,B AH T | W IY R | G OW IH NG | T UW | IH M P R UW V | AA N | TH IH NG Z | L AY K | DH AH | G R IY N | R UW F,B AH T | W IY R | G OW IH NG | T UW | IH M P R UW V | AA N | TH IH NG Z | L AY K | DH AH | G R IY N | R UW F,True,True,,homophone_substitution,phoneme overlap 11/11=1.00 (high)
WE'VE GOT A GREAT RELATIONSHIP,WE'VE GOT A GREAT RELATIONSHIP,W IY V | G AA T | AH | G R EY T | R IY L EY SH AH N SH IH P,W IY V | G AA T | AH | G R EY T | R IY L EY SH AH N SH IH P,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WHERE IS THE GAS,WHERE IS THE GAS,W EH R | IH Z | DH AH | G AE S,W EH R | IH Z | DH AH | G AE S,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,S AH M | M EH M B ER Z | AH V | DH AH | P AH B L IH K | D OW N T | K W AY T | AH N D ER S T AE N D | L IY S HH OW L D,S AH M | M EH M B ER Z | AH V | DH AH | P AH B L IH K | D OW N T | K W AY T | ? | S EH L,True,False,,non_word_spelling,prediction has CMU OOV; phoneme-word counts equal (9)
IF YOU LIVED IN THE BUILDING,IF YOU LIVED IN THE BUILDING,IH F | Y UW | L AY V D | IH N | DH AH | B IH L D IH NG,IH F | Y UW | L AY V D | IH N | DH AH | B IH L D IH NG,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,W UH D | Y UW | W AA N T | N UW | ? | EH V ER IY | W IY K | AO R | EH V ER IY | F AO R T N AY T,W UH D | Y UW | W AA N T | N UW | ? | EH V ER IY | W IY K | AO R | EH V ER IY | N AY T,True,False,truncation: model dropped FORT- syllable and emitted NIGHT instead of FORTNIGHT,homophone_substitution,phoneme overlap 8/9=0.89 (high)
BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,B AH T | AY | TH IH NG K | HH IY Z | AO L R EH D IY | L ER N D | S AH M | R IH L IY | IH M P AO R T AH N T | P R AA P ER T IY | L EH S AH N Z,B AH T | AY | TH IH NG K | HH IY Z | AO L R EH D IY | L ER N D | S AH M | R IH L IY | IH M P AO R T AH N T | P R AA P ER T IY | L EH S AH N Z,True,True,,homophone_substitution,phoneme overlap 11/11=1.00 (high)
CHOOSING A GOOD LOCATION,CHOOSING A GOOD LOCATION,CH UW Z IH NG | AH | G UH D | L OW K EY SH AH N,CH UW Z IH NG | AH | G UH D | L OW K EY SH AH N,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
YOU HAVE TO HOLD YOUR NERVE,YOU HAVE TO HOLD YOUR NERVE,Y UW | HH AE V | T UW | HH OW L D | Y AO R | N ER V,Y UW | HH AE V | T UW | HH OW L D | Y AO R | N ER V,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WHO'S VERY MUCH INTO FAMILY HISTORY,WHO'S VERY MUCH INTO FAMILY HISTORY,HH UW Z | V EH R IY | M AH CH | IH N T UW | F AE M AH L IY | HH IH S T ER IY,HH UW Z | V EH R IY | M AH CH | IH N T UW | F AE M AH L IY | HH IH S T ER IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WE DON'T WANT TO SPEND MORE THAN,WE DON'T WANT TO SPEND MORE THAN,W IY | D OW N T | W AA N T | T UW | S P EH N D | M AO R | DH AE N,W IY | D OW N T | W AA N T | T UW | S P EH N D | M AO R | DH AE N,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
IT CERTAINLY WON'T BE,IT CERTAINLY WON'T BE,IH T | S ER T AH N L IY | W OW N T | B IY,IH T | S ER T AH N L IY | W OW N T | B IY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I THINK SOMETHING DRASTIC NEEDS TO BE DONE,I THINK SOMETHING DRASTIC NEEDS TO BE DONE,AY | TH IH NG K | S AH M TH IH NG | D R AE S T IH K | N IY D Z | T UW | B IY | D AH N,AY | TH IH NG K | S AH M TH IH NG | D R AE S T IH K | N IY D Z | T UW | B IY | D AH N,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
WHAT DO YOU KNOW ABOUT IT,WHAT DO YOU KNOW ABOUT IT,W AH T | D UW | Y UW | N OW | AH B AW T | IH T,W AH T | D UW | Y UW | N OW | AH B AW T | IH T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I'M RIGHT IN SAYING THAT,I'M RIGHT IN SAYING THAT,AY M | R AY T | IH N | S EY IH NG | DH AE T,AY M | R AY T | IH N | S EY IH NG | DH AE T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
SO LET'S GO BACK AND FIND OUT,SO LET'S GO BACK AND FIND OUT,S OW | L EH T S | G OW | B AE K | AH N D | F AY N D | AW T,S OW | L EH T S | G OW | B AE K | AH N D | F AY N D | AW T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
I'M VERY IMPRESSED,I'M VERY IMPRESSED,AY M | V EH R IY | IH M P R EH S T,AY M | V EH R IY | IH M P R EH S T,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THE BEST BARGAINS,THE BEST BARGAINS,DH AH | B EH S T | B AA R G AH N Z,DH AH | B EH S T | B AA R G AH N Z,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
NOT QUITE AS HIGH,NOT QUITE AS HIGH,N AA T | K W AY T | AE Z | HH AY,N AA T | K W AY T | AE Z | HH AY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
IT'S A PLUS POINT,IT'S A PLUS POINT,IH T S | AH | P L AH S | P OY N T,IH T S | AH | P L AH S | P OY N T,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THE FIRST AND SECOND FLOOR FLATS,THE FIRST AND SECOND FLOOR FLATS,DH AH | F ER S T | AH N D | S EH K AH N D | F L AO R | F L AE T S,DH AH | F ER S T | AH N D | S EH K AH N D | F L AO R | F L AE T S,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AS A RESULT OF SMOKING,AS A RESULT OF SMOKING,AE Z | AH | R IH Z AH L T | AH V | S M OW K IH NG,AE Z | AH | R IH Z AH L T | AH V | S M OW K IH NG,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WE'LL GIVE IT A TRY,WE'LL GIVE IT A TRY,W IY L | G IH V | IH T | AH | T R AY,W IY L | G IH V | IH T | AH | T R AY,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
GO TO THE PRESS,GO TO THE PRESS,G OW | T UW | DH AH | P R EH S,G OW | T UW | DH AH | P R EH S,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
LEARNING THE ROPES,LEARNING THE ROPE S,L ER N IH NG | DH AH | R OW P S,L ER N IH NG | DH AH | R OW P | EH S,False,False,boundary hallucination: decoder inserted space inside aligned word,boundary_hallucination,"same letters, space differs (tgt_words=3 hyp_words=4)"
EIGHT FEET TALL,EIGHT FEET TALL,EY T | F IY T | T AO L,EY T | F IY T | T AO L,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND THE REASON FOR THAT,AND THE REASON FOR THAT,AH N D | DH AH | R IY Z AH N | F AO R | DH AE T,AH N D | DH AH | R IY Z AH N | F AO R | DH AE T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,AH | L IH T AH L | ?,AH | L IH T AH L | S AE K S AH F OW N | F R AE G M AH N T,False,False,"OOV target -> plausible-English substitution: SAXIFRAGE is CMU OOV, model produced valid word",oov_target_substitution,"target has CMU OOV, prediction is real word"
IT MAY BE A MINIATURE COMPARED TO THAT,IT MAY BE A MINIATURE COMPARED TO THAT,IH T | M EY | B IY | AH | M IH N IY AH CH UH R | K AH M P EH R D | T UW | DH AE T,IH T | M EY | B IY | AH | M IH N IY AH CH UH R | K AH M P EH R D | T UW | DH AE T,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
I CAN PLANT THEM IN THAT SPOT,I CAN PLANT THEM IN THAT SPOT,AY | K AE N | P L AE N T | DH EH M | IH N | DH AE T | S P AA T,AY | K AE N | P L AE N T | DH EH M | IH N | DH AE T | S P AA T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
SOMETIMES IT DOESN'T,SOMETIMES IT DOESN'T,S AH M T AY M Z | IH T | D AH Z AH N T,S AH M T AY M Z | IH T | D AH Z AH N T,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
I THINK IT LOOKS GREAT,I THINK IT LOOKS GREAT,AY | TH IH NG K | IH T | L UH K S | G R EY T,AY | TH IH NG K | IH T | L UH K S | G R EY T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THAT'S QUITE A LARGE LEAF,THAT'S QUITE A LARGE LEAF,DH AE T S | K W AY T | AH | L AA R JH | L IY F,DH AE T S | K W AY T | AH | L AA R JH | L IY F,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AND IT'S A GREAT WAY TO EAT IT,AND IT'S A GREAT WAY TO EAT IT,AH N D | IH T S | AH | G R EY T | W EY | T UW | IY T | IH T,AH N D | IH T S | AH | G R EY T | W EY | T UW | IY T | IH T,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
THAT FIRST MEETING,THAT FIRST MEETING,DH AE T | F ER S T | M IY T IH NG,DH AE T | F ER S T | M IY T IH NG,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
BUT NOW WE HAVE THESE VIRUSES,BUT NOW WE HAVE THESE VIRUSES,B AH T | N AW | W IY | HH AE V | DH IY Z | V AY R AH S AH Z,B AH T | N AW | W IY | HH AE V | DH IY Z | V AY R AH S AH Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,S K W ER AH L | P AA K S | V AY R AH S,? | P AA K S | V AY R AH S,False,False,"non-word spelling: SQUWAREL is not a word (CMU OOV); single vowel insertion, not a homophone",non_word_spelling,prediction has CMU OOV; phoneme-word counts equal (3)
CAUSES IT NO HARM,CAUSES IT NO HARM,K AA Z AH Z | IH T | N OW | HH AA R M,K AA Z AH Z | IH T | N OW | HH AA R M,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
BUT NOT FOR ME AS A FARMER,BUT NOT FOR ME AS A FARMER,B AH T | N AA T | F AO R | M IY | AE Z | AH | F AA R M ER,B AH T | N AA T | F AO R | M IY | AE Z | AH | F AA R M ER,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
IT'S THAT SIMPLE,IT'S THAT SIMPLE,IH T S | DH AE T | S IH M P AH L,IH T S | DH AE T | S IH M P AH L,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THIS REALLY IS A TALE OF TWO CITIES,THIS REALLY IS A TALE OF TWO CITIES,DH IH S | R IH L IY | IH Z | AH | T EY L | AH V | T UW | S IH T IY Z,DH IH S | R IH L IY | IH Z | AH | T EY L | AH V | T UW | S IH T IY Z,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IT'S A LONG WAY FROM HOME,IT'S A LONG WAY FROM HOME,IH T S | AH | L AO NG | W EY | F R AH M | HH OW M,IH T S | AH | L AO NG | W EY | F R AH M | HH OW M,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AS YOU ENTER THE REAR PART OF THE SHOP,AS YOU ENTER THE REAR PART OF THE SHOP,AE Z | Y UW | EH N T ER | DH AH | R IH R | P AA R T | AH V | DH AH | SH AA P,AE Z | Y UW | EH N T ER | DH AH | R IH R | P AA R T | AH V | DH AH | SH AA P,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
LOTS OF THINGS TO THINK ABOUT,LOTS OF THINGS TO THINK ABOUT,L AA T S | AH V | TH IH NG Z | T UW | TH IH NG K | AH B AW T,L AA T S | AH V | TH IH NG Z | T UW | TH IH NG K | AH B AW T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I'M STILL HAPPY,I'M STILL HAPPY,AY M | S T IH L | HH AE P IY,AY M | S T IH L | HH AE P IY,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL KEY,Y UW | M AH S T | HH AE V | AH | P ER S IH N IH L | K IY,Y UW | M AH S T | HH AE V | AH | P ER S IH N IH L | K IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WE WILL OWN IT TOGETHER,WE WILL OWN IT TOGETHER,W IY | W IH L | OW N | IH T | T AH G EH DH ER,W IY | W IH L | OW N | IH T | T AH G EH DH ER,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
IT WILL BE A GREAT INVESTMENT,IT WILL BE A GREAT INVESTMENT,IH T | W IH L | B IY | AH | G R EY T | IH N V EH S T M AH N T,IH T | W IH L | B IY | AH | G R EY T | IH N V EH S T M AH N T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
