target,prediction,is_homophone,word_S,word_I,word_D,word_H,char_S,char_I,char_D,char_H,wer,cer,exact_match
INSTEAD OF BEING SOMEONE'S ARM CANDY,INSTEAD OF BEING SOMEONE'S ARM CANDY,False,0,0,0,6,0,0,0,36,0.0,0.0,True
I EXPECTED YOU TO HAVE A PAST,I EXPECTED YOU TO HAVE A PAST,True,0,0,0,7,0,0,0,29,0.0,0.0,True
SEE HOW MUCH IT COMES TO,SEE HOW MUCH IT COMES TO,True,0,0,0,6,0,0,0,24,0.0,0.0,True
I PAY THE MONEY,I PAY THE MONEY,True,0,0,0,4,0,0,0,15,0.0,0.0,True
OVER THE COURSE OF HIS LIFE,OVER THE COURSE OF HIS LIFE,True,0,0,0,6,0,0,0,27,0.0,0.0,True
WHEN IT'S FINISHED,WHEN IT'S FINISHED,True,0,0,0,3,0,0,0,18,0.0,0.0,True
BUT BEFORE I DO,BUT BEFORE I DO,True,0,0,0,4,0,0,0,15,0.0,0.0,True
THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,False,0,0,0,8,0,0,0,47,0.0,0.0,True
ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,True,0,0,0,11,0,0,0,43,0.0,0.0,True
GET THEM INTO THE GARDEN,GET THEM INTO THE GARDEN,False,0,0,0,5,0,0,0,24,0.0,0.0,True
THIS ONE IS TOTALLY OUT OF CONTROL,THIS ONE IS TOTALLY OUT OF CONTROL,True,0,0,0,7,0,0,0,34,0.0,0.0,True
BUT IT COMES AND GOES,BUT IT COMES AND GOES,True,0,0,0,5,0,0,0,21,0.0,0.0,True
I THINK IT'S BRILLIANT,I THINK IT'S BRILLIANT,True,0,0,0,4,0,0,0,22,0.0,0.0,True
A ONE BEDROOM FIRST FLOOR FLAT,A ONE BEDROOM FIRST FLOOR FLAT,True,0,0,0,6,0,0,0,30,0.0,0.0,True
IF IT WAS GOING TO BE INCREASED,IF IT WAS GOING TO BE INCREASED,True,0,0,0,7,0,0,0,31,0.0,0.0,True
BUT IT'S A DECENT SIZE,BUT IT'S A DECENT SIZE,True,0,0,0,5,0,0,0,22,0.0,0.0,True
I'M NOT MASSIVELY HAPPY,I'M NOT MASSIVELY HAPPY,True,0,0,0,4,0,0,0,23,0.0,0.0,True
IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,True,0,0,0,10,0,0,0,62,0.0,0.0,True
IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,True,0,0,0,12,0,0,0,66,0.0,0.0,True
DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,True,0,0,0,12,0,0,0,52,0.0,0.0,True
BUT WHAT A SURPRISE WHEN YOU COME IN,BUT WHAT A SURPRISE WHEN YOU COME IN,True,0,0,0,8,0,0,0,36,0.0,0.0,True
BECAUSE IT'S FANTASTIC,BECAUSE IT'S FANTASTIC,False,0,0,0,3,0,0,0,22,0.0,0.0,True
WHAT DO YOU THINK ABOUT THAT,WHAT DO YOU THINK ABOUT THAT,True,0,0,0,6,0,0,0,28,0.0,0.0,True
HE'S LOOKING TO SELL IT,HE'S LOOKING TO SELL IT,True,0,0,0,5,0,0,0,23,0.0,0.0,True
IT'S NOT AS EASY AS IT LOOKS,IT'S NOT AS EASY AS IT LOOKS,True,0,0,0,7,0,0,0,28,0.0,0.0,True
STICK TO WHAT YOU'RE GOOD AT,STICK TO WHAT YOU'RE GOOD AT,True,0,0,0,6,0,0,0,28,0.0,0.0,True
THAT IS IMPORTANT,THAT IS IMPORTANT,False,0,0,0,3,0,0,0,17,0.0,0.0,True
BUT HE DID REALLY WELL,BUT HE DID REALLY WELL,True,0,0,0,5,0,0,0,22,0.0,0.0,True
AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,True,0,0,0,13,0,0,0,48,0.0,0.0,True
EXCEPT AS A LAST RESORT,EXCEPT AS A LAST RESORT,True,0,0,0,5,0,0,0,23,0.0,0.0,True
YOU NEVER KNOW BY THE END OF THE BUILD,YOU NEVER KNOW BY THE END OF THE BUILD,True,0,0,0,9,0,0,0,38,0.0,0.0,True
I KNOW IT COMES WITH PLANNING PERMISSION,I KNOW IT COMES WITH PLANNING PERMISSION,True,0,0,0,7,0,0,0,40,0.0,0.0,True
BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,True,0,0,0,11,0,0,0,56,0.0,0.0,True
WE'VE GOT A GREAT RELATIONSHIP,WE'VE GOT A GREAT RELATIONSHIP,False,0,0,0,5,0,0,0,30,0.0,0.0,True
WHERE IS THE GAS,WHERE IS THE GAS,True,0,0,0,4,0,0,0,16,0.0,0.0,True
SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,True,2,0,0,7,3,0,3,53,0.2222222222222222,0.1016949152542373,False
IF YOU LIVED IN THE BUILDING,IF YOU LIVED IN THE BUILDING,True,0,0,0,6,0,0,0,28,0.0,0.0,True
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,True,1,0,0,9,0,0,4,55,0.1,0.06779661016949153,False
BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,True,0,0,0,11,0,0,0,71,0.0,0.0,True
CHOOSING A GOOD LOCATION,CHOOSING A GOOD LOCATION,False,0,0,0,4,0,0,0,24,0.0,0.0,True
YOU HAVE TO HOLD YOUR NERVE,YOU HAVE TO HOLD YOUR NERVE,True,0,0,0,6,0,0,0,27,0.0,0.0,True
WHO'S VERY MUCH INTO FAMILY HISTORY,WHO'S VERY MUCH INTO FAMILY HISTORY,True,0,0,0,6,0,0,0,35,0.0,0.0,True
WE DON'T WANT TO SPEND MORE THAN,WE DON'T WANT TO SPEND MORE THAN,True,0,0,0,7,0,0,0,32,0.0,0.0,True
IT CERTAINLY WON'T BE,IT CERTAINLY WON'T BE,True,0,0,0,4,0,0,0,21,0.0,0.0,True
I THINK SOMETHING DRASTIC NEEDS TO BE DONE,I THINK SOMETHING DRASTIC NEEDS TO BE DONE,True,0,0,0,8,0,0,0,42,0.0,0.0,True
WHAT DO YOU KNOW ABOUT IT,WHAT DO YOU KNOW ABOUT IT,True,0,0,0,6,0,0,0,25,0.0,0.0,True
I'M RIGHT IN SAYING THAT,I'M RIGHT IN SAYING THAT,True,0,0,0,5,0,0,0,24,0.0,0.0,True
SO LET'S GO BACK AND FIND OUT,SO LET'S GO BACK AND FIND OUT,True,0,0,0,7,0,0,0,29,0.0,0.0,True
I'M VERY IMPRESSED,I'M VERY IMPRESSED,True,0,0,0,3,0,0,0,18,0.0,0.0,True
THE BEST BARGAINS,THE BEST BARGAINS,False,0,0,0,3,0,0,0,17,0.0,0.0,True
NOT QUITE AS HIGH,NOT QUITE AS HIGH,True,0,0,0,4,0,0,0,17,0.0,0.0,True
IT'S A PLUS POINT,IT'S A PLUS POINT,False,0,0,0,4,0,0,0,17,0.0,0.0,True
THE FIRST AND SECOND FLOOR FLATS,THE FIRST AND SECOND FLOOR FLATS,False,0,0,0,6,0,0,0,32,0.0,0.0,True
AS A RESULT OF SMOKING,AS A RESULT OF SMOKING,False,0,0,0,5,0,0,0,22,0.0,0.0,True
WE'LL GIVE IT A TRY,WE'LL GIVE IT A TRY,False,0,0,0,5,0,0,0,19,0.0,0.0,True
GO TO THE PRESS,GO TO THE PRESS,True,0,0,0,4,0,0,0,15,0.0,0.0,True
LEARNING THE ROPES,LEARNING THE ROPE S,False,1,1,0,2,0,1,0,18,0.6666666666666666,0.05555555555555555,False
EIGHT FEET TALL,EIGHT FEET TALL,True,0,0,0,3,0,0,0,15,0.0,0.0,True
AND THE REASON FOR THAT,AND THE REASON FOR THAT,True,0,0,0,5,0,0,0,23,0.0,0.0,True
A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,False,1,1,0,2,1,9,0,17,0.6666666666666666,0.5555555555555556,False
IT MAY BE A MINIATURE COMPARED TO THAT,IT MAY BE A MINIATURE COMPARED TO THAT,True,0,0,0,8,0,0,0,38,0.0,0.0,True
I CAN PLANT THEM IN THAT SPOT,I CAN PLANT THEM IN THAT SPOT,True,0,0,0,7,0,0,0,29,0.0,0.0,True
SOMETIMES IT DOESN'T,SOMETIMES IT DOESN'T,False,0,0,0,3,0,0,0,20,0.0,0.0,True
I THINK IT LOOKS GREAT,I THINK IT LOOKS GREAT,True,0,0,0,5,0,0,0,22,0.0,0.0,True
THAT'S QUITE A LARGE LEAF,THAT'S QUITE A LARGE LEAF,False,0,0,0,5,0,0,0,25,0.0,0.0,True
AND IT'S A GREAT WAY TO EAT IT,AND IT'S A GREAT WAY TO EAT IT,True,0,0,0,8,0,0,0,30,0.0,0.0,True
THAT FIRST MEETING,THAT FIRST MEETING,False,0,0,0,3,0,0,0,18,0.0,0.0,True
BUT NOW WE HAVE THESE VIRUSES,BUT NOW WE HAVE THESE VIRUSES,True,0,0,0,6,0,0,0,29,0.0,0.0,True
SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,False,1,0,0,2,2,0,0,16,0.3333333333333333,0.1111111111111111,False
CAUSES IT NO HARM,CAUSES IT NO HARM,True,0,0,0,4,0,0,0,17,0.0,0.0,True
BUT NOT FOR ME AS A FARMER,BUT NOT FOR ME AS A FARMER,True,0,0,0,7,0,0,0,26,0.0,0.0,True
IT'S THAT SIMPLE,IT'S THAT SIMPLE,False,0,0,0,3,0,0,0,16,0.0,0.0,True
THIS REALLY IS A TALE OF TWO CITIES,THIS REALLY IS A TALE OF TWO CITIES,True,0,0,0,8,0,0,0,35,0.0,0.0,True
IT'S A LONG WAY FROM HOME,IT'S A LONG WAY FROM HOME,True,0,0,0,6,0,0,0,25,0.0,0.0,True
AS YOU ENTER THE REAR PART OF THE SHOP,AS YOU ENTER THE REAR PART OF THE SHOP,True,0,0,0,9,0,0,0,38,0.0,0.0,True
LOTS OF THINGS TO THINK ABOUT,LOTS OF THINGS TO THINK ABOUT,True,0,0,0,6,0,0,0,29,0.0,0.0,True
I'M STILL HAPPY,I'M STILL HAPPY,False,0,0,0,3,0,0,0,15,0.0,0.0,True
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL KEY,True,0,0,0,6,0,0,0,28,0.0,0.0,True
WE WILL OWN IT TOGETHER,WE WILL OWN IT TOGETHER,True,0,0,0,5,0,0,0,23,0.0,0.0,True
IT WILL BE A GREAT INVESTMENT,IT WILL BE A GREAT INVESTMENT,True,0,0,0,6,0,0,0,29,0.0,0.0,True
OR PROPERTIES SHOULD I SAY,OR PROPERTIES SHOULD I SAY,True,0,0,0,5,0,0,0,26,0.0,0.0,True
PRETTY ON THE OUTSIDE,PRETTY ON THE OUTSIDE,False,0,0,0,4,0,0,0,21,0.0,0.0,True
BECAUSE IT WAS OFFICES,BECAUSE IT WAS OFFICES,False,0,0,0,4,0,0,0,22,0.0,0.0,True
VERY CLOSE BY THE UNIVERSITY,VERY CLOSE BY THE UNIVERSITY,True,0,0,0,5,0,0,0,28,0.0,0.0,True
GROUND FLOOR FLAT,GROUND FLOOR FLAT,False,0,0,0,3,0,0,0,17,0.0,0.0,True
I WOULD MARKET THAT,I WOULD MARKET THAT,True,0,0,0,4,0,0,0,19,0.0,0.0,True
ADD ANOTHER TEN ON,ADD ANOTHER TEN ON,True,0,0,0,4,0,0,0,18,0.0,0.0,True
ONE BEDROOM APARTMENTS AROUND HERE AT THE MOMENT,ONE BEDROOM APARTMENTS AROUND HERE AT THE MOMENT,True,0,0,0,8,0,0,0,48,0.0,0.0,True
PROBABLY AROUND 85,PROBABLY AROUND 85,False,0,0,0,3,0,0,0,18,0.0,0.0,True
AND SINCE THE CONVERSION,AND SINCE THE CONVERSION,False,0,0,0,4,0,0,0,24,0.0,0.0,True
REALISTIC VALUE WISE,REALISTIC VALUE WISE,True,0,0,0,3,0,0,0,20,0.0,0.0,True
SHE WAS A FLAWED SHIP,SHE WAS A FLAWED SHIPPING,False,1,0,0,4,0,4,0,21,0.2,0.19047619047619047,False
EVEN BEFORE SHE ENTERED THE WATER,EVEN BEFORE SHE ENTERED THE WATER,False,0,0,0,6,0,0,0,33,0.0,0.0,True
VISITING ALMOST ALL PARTS OF THE EMPIRE,VISITING ALMOST ALL PARTS OF THE EMPIRE,False,0,0,0,7,0,0,0,39,0.0,0.0,True
FROM SMALL SHIPS,FROM SMALL SHIPS,False,0,0,0,3,0,0,0,16,0.0,0.0,True
IS IT TRUE SHE WAS,IS IT TRUE SHE WAS,False,0,0,0,5,0,0,0,18,0.0,0.0,True
SOMETIMES IT'S DIFFICULT TO KNOW WHERE,SOMETIMES IT'S DIFFICULT TO KNOW WHERE,True,0,0,0,6,0,0,0,38,0.0,0.0,True
IF YOU INTEND TO BID ON A PLACE,IF YOU INTEND TO BID ON A PLACE,True,0,0,0,8,0,0,0,31,0.0,0.0,True
IT'S HARD TO COME AWAY FROM IT,IT'S HARD TO COME AWAY FROM IT,True,0,0,0,7,0,0,0,30,0.0,0.0,True
IT SEEMS A VERY GOOD LOCATION,IT SEEMS A VERY GOOD LOCATION,True,0,0,0,6,0,0,0,29,0.0,0.0,True
BECAUSE OF THE DEMAND OF THE MARKET,BECAUSE OF THE DEMAND OF THE MARKET,False,0,0,0,7,0,0,0,35,0.0,0.0,True
IT MIGHT BE VIABLE,IT MIGHT BE VIABLE,True,0,0,0,4,0,0,0,18,0.0,0.0,True
THAT'S MY KIND OF LOCATION,THAT'S MY KIND OF LOCATION,False,0,0,0,5,0,0,0,26,0.0,0.0,True
WHAT WAS IT THAT MADE YOU THINK,WHAT WAS IT THAT MADE YOU THINK,True,0,0,0,7,0,0,0,31,0.0,0.0,True
HOW CAN I DO THAT,HOW CAN I DO THAT,True,0,0,0,5,0,0,0,17,0.0,0.0,True
DESTROYING THE PROPERTY,DESTROYING THE PROPERTY,False,0,0,0,3,0,0,0,23,0.0,0.0,True
PURELY BY CHANCE,PURELY BY CHANCE,True,0,0,0,3,0,0,0,16,0.0,0.0,True
ARE THEY STRUGGLING OR ARE THEY FLUSHED WITH SUCCESS,ARE THEY STRUGGLING OR ARE THEY FLUSHED WITH SUCCESS,True,0,0,0,9,0,0,0,52,0.0,0.0,True
HE'S MY BUILDER,HE'S MY BUILDER,False,0,0,0,3,0,0,0,15,0.0,0.0,True
WE PLAYED IN A BAND TOGETHER,WE PLAYED IN A BAND TOGETHER,True,0,0,0,6,0,0,0,28,0.0,0.0,True
AFTER JUST A COUPLE OF DAYS,AFTER JUST A COUPLE OF DAYS,False,0,0,0,6,0,0,0,27,0.0,0.0,True
JUST LIKE ANY GOOD COMIC BOOK VILLAIN,JUST LIKE ANY GOOD COMIC BOOK VILLAIN,False,0,0,0,7,0,0,0,37,0.0,0.0,True
AND THEN OF COURSE,AND THEN OF COURSE,True,0,0,0,4,0,0,0,18,0.0,0.0,True
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True,0,0,1,5,0,0,7,31,0.16666666666666666,0.18421052631578946,False
BUT SINCE JACK'S FIRST DISCOVERY,BUT SINCE JACK'S FIRST DISCOVERY,True,0,0,0,5,0,0,0,32,0.0,0.0,True
PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PREVAILING WINDS,False,0,0,0,5,0,0,0,35,0.0,0.0,True
SEARCHING FOR ANSWERS,SEARCHING FOR ANSWERS,True,0,0,0,3,0,0,0,21,0.0,0.0,True
WE KNOW WHAT THEY ARE,WE KNOW WHAT THEY ARE,True,0,0,0,5,0,0,0,21,0.0,0.0,True
THERE'S NO OBVIOUS REASON,THERE'S NO OBVIOUS REASON,True,0,0,0,4,0,0,0,25,0.0,0.0,True
TAKING HORTICULTURE TO THE EXTREME,TAKING HORTICULTURE TO THE EXTREME,True,0,0,0,5,0,0,0,34,0.0,0.0,True
THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARY AND,True,0,0,0,6,0,0,0,39,0.0,0.0,True
LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,True,0,0,0,9,0,0,0,50,0.0,0.0,True
BUT NOW THERE'S MORE PROTECTION,BUT NOW THERE'S MORE PROTECTION,True,0,0,0,5,0,0,0,31,0.0,0.0,True
ABOUT 20 YEARS AGO,ABOUT 20 YEARS AGO,True,0,0,0,4,0,0,0,18,0.0,0.0,True
ENJOY THE SUMMER,ENJOY THE SUMMER,False,0,0,0,3,0,0,0,16,0.0,0.0,True
ARE THEY RELATIVES OF YOURS,ARE THEY RELATIVES OF YOURS,True,0,0,0,5,0,0,0,27,0.0,0.0,True
NOT JUST A HOTEL,NOT JUST A HOTEL,True,0,0,0,4,0,0,0,16,0.0,0.0,True
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY A,True,2,1,0,2,1,2,1,21,0.75,0.17391304347826086,False
THEY WOULD BE ABLE TO GO BACK,THEY WOULD BE ABLE TO GO BACK,True,0,0,0,7,0,0,0,29,0.0,0.0,True
NOT JUST A HOTEL,NOT JUST A HOTEL,True,0,0,0,4,0,0,0,16,0.0,0.0,True
EVERY SEPTEMBER THIS PLACE WOULD BE TRANSFORMED INTO WHAT WAS,EVERY SEPTEMBER THIS PLACE WOULD BE TRANSFORMED INTO WHAT WAS,True,0,0,0,10,0,0,0,61,0.0,0.0,True
FOR OVER 700 YEARS,FOR OVER 700 YEARS,True,0,0,0,4,0,0,0,18,0.0,0.0,True
SO FROM HIS VANTAGE POINT,SO FROM HIS VANTAGE POINT,True,0,0,0,5,0,0,0,25,0.0,0.0,True
THERE IS NO AIR SO THERE IS NO SOUND,THERE IS NO AIR SO THERE IS no SOUND,True,1,0,0,8,2,0,0,34,0.1111111111111111,0.05555555555555555,True
WITH ONE OF THE ROOMS UPSTAIRS,WITH ONE OF THE ROOMS UPSTAIRS,True,0,0,0,6,0,0,0,30,0.0,0.0,True
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True,1,0,0,5,2,1,0,27,0.16666666666666666,0.10344827586206896,False
THIS IS A SWEET,THIS IS A SWEET,False,0,0,0,4,0,0,0,15,0.0,0.0,True
BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT,True,1,0,0,8,1,0,1,47,0.1111111111111111,0.04081632653061224,False
IT CAN BE QUITE EXPENSIVE,IT CAN BE QUITE EXPENSIVE,True,0,0,0,5,0,0,0,25,0.0,0.0,True
IT'S A MULTICULTURAL,IT'S A MULTICULTURAL,False,0,0,0,3,0,0,0,20,0.0,0.0,True
BUYING A NEW BUILD PROPERTY SHOULD MEAN YOU DON'T HAVE ANY WORK TO DO,BUYING A NEW BUILD PROPERTY SHOULD MEAN YOU DON'T HAVE ANY WORK TO DO,True,0,0,0,14,0,0,0,69,0.0,0.0,True
SOME ISSUES WITH POTENTIAL DAMP,SOME ISSUES WITH POTENTIAL DAMP,True,0,0,0,5,0,0,0,31,0.0,0.0,True
A GREAT PLACE FOR HIM TO BE,A GREAT PLACE FOR HIM TO BE,True,0,0,0,7,0,0,0,27,0.0,0.0,True
WE HAVE TO PAY FOR THAT,WE HAVE TO PAY FOR THAT,True,0,0,0,6,0,0,0,23,0.0,0.0,True
SO RATHER THAN JUST RELYING ON THIS INFORMATION,SO RATHER THAN JUST RELYING ON THIS INFORMATION,True,0,0,0,8,0,0,0,47,0.0,0.0,True
ALL OF THE BRAIN IS COMBINING ALL THE DIFFERENT SENSES,ALL OF THE BRAIN IS COMBINING ALL THE DIFFERENT SENSES,False,0,0,0,10,0,0,0,54,0.0,0.0,True
WHO DOESN'T HAVE VISION,WHO DOESN'T HAVE VISION,True,0,0,0,4,0,0,0,23,0.0,0.0,True
SO YOU HAVE YOUR BATHROOM IN THIS AREA AND THEN,SO YOU HAVE YOUR BATHROOM IN THIS AREA AND THEN,True,0,0,0,10,0,0,0,47,0.0,0.0,True
WHEN I SEE THAT,WHEN I SEE THAT,True,0,0,0,4,0,0,0,15,0.0,0.0,True
AND I WOULDN'T BE SURPRISED,AND I WOULDN'T BE SURPRISED,True,0,0,0,5,0,0,0,27,0.0,0.0,True
THIS IS VERY SIMILAR,THIS IS VERY SIMILAR,True,0,0,0,4,0,0,0,20,0.0,0.0,True
OR HAVE THEY ENCOUNTERED PROBLEMS,OR HAVE THEY ENCOUNTERED PROBLEMS,True,0,0,0,5,0,0,0,33,0.0,0.0,True
AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,True,0,0,0,14,0,0,0,71,0.0,0.0,True
TRAVEL THREE MILES FURTHER WEST AND YOU DO GET MORE FOR YOUR MONEY,TRAVEL THREE MILES FURTHER WEST AND YOU DO GET MORE FOR YOUR MONEY,True,0,0,0,13,0,0,0,66,0.0,0.0,True
IF THAT WAS FITTED OUT,IF THAT WAS FITTED OUT,False,0,0,0,5,0,0,0,22,0.0,0.0,True
WILL IT BE A FUN,WILL IT BE A FUN,True,0,0,0,5,0,0,0,16,0.0,0.0,True
FABULOUS PROJECT FOR THEM,FABULOUS PROJECT FOR THEM,True,0,0,0,4,0,0,0,25,0.0,0.0,True
WILL IT BE ABOVE PAR,WILL IT BE ABOVE PAR,True,0,0,0,5,0,0,0,20,0.0,0.0,True
THAT'S AN OPTION,THAT'S AN OPTION,True,0,0,0,3,0,0,0,16,0.0,0.0,True
THAT'S VERY BAD NEWS,THAT'S VERY BAD NEWS,True,0,0,0,4,0,0,0,20,0.0,0.0,True
AND THAT'S REALLY WELL DONE,AND THAT'S REALLY WELL DONE,True,0,0,0,5,0,0,0,27,0.0,0.0,True
IT TAKES HARD WORK,IT TAKES HARD WORK,False,0,0,0,4,0,0,0,18,0.0,0.0,True
AND THINGS LIKE THAT WE'LL DO OURSELVES,AND THINGS LIKE THAT WE'LL DO OURSELVES,True,0,0,0,7,0,0,0,39,0.0,0.0,True
THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS IT IN SPADES,True,0,0,0,7,0,0,0,33,0.0,0.0,True
IF YOU CAN'T GO UP,IF YOU CAN'T GO UP,True,0,0,0,5,0,0,0,18,0.0,0.0,True
IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,True,0,0,0,6,0,0,0,49,0.0,0.0,True
ON THE SECOND FLOOR,ON THE SECOND FLOOR,False,0,0,0,4,0,0,0,19,0.0,0.0,True
IT'S VERY CLEAN,IT'S VERY CLEAN,True,0,0,0,3,0,0,0,15,0.0,0.0,True
THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLIANCES HAVE BEEN DONE NICELY,True,0,0,0,6,0,0,0,36,0.0,0.0,True
IT COULD BE YOUR PASSPORT TO A SMALL FORTUNE,IT COULD BE YOUR PASSPORT TO A SMALL FORTUNE,True,0,0,0,9,0,0,0,44,0.0,0.0,True
IN OTHER WORDS MADE THE BASE,IN OTHER WORDS MADE THE BASE,True,0,0,0,6,0,0,0,28,0.0,0.0,True
GARAGE AND TECHNO FUNK,GARAGE AND TECHNO FUNK,False,0,0,0,4,0,0,0,22,0.0,0.0,True
END OF NOVEMBER,END OF NOVEMBER,False,0,0,0,3,0,0,0,15,0.0,0.0,True
LOOK AT ME AT ALL,LOOK AT ME AT ALL,False,0,0,0,5,0,0,0,17,0.0,0.0,True
BECAUSE I MUST SAY,BECAUSE I MUST SAY,True,0,0,0,4,0,0,0,18,0.0,0.0,True
THE FOLLOWING SPRING,THE FOLLOWING SPRING,False,0,0,0,3,0,0,0,20,0.0,0.0,True
AND THAT'S ALL ABOUT,AND THAT'S ALL ABOUT,False,0,0,0,4,0,0,0,20,0.0,0.0,True
I TEND TO USE NATURAL BRITISH STONE,I TEND TO USE NATURAL BRITISH STONE,True,0,0,0,7,0,0,0,35,0.0,0.0,True
IF YOU TRAVEL THE WORLD,IF YOU TRAVEL THE WORLD,True,0,0,0,5,0,0,0,23,0.0,0.0,True
HERE IN THIS GREENHOUSE AND THE OTHER ONE,HERE IN THIS GREENHOUSE AND THE OTHER ONE,True,0,0,0,8,0,0,0,41,0.0,0.0,True
AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME,False,1,0,0,4,3,0,0,19,0.2,0.13636363636363635,False
IS IT ALL GOOD NEWS,IS IT ALL GOOD NEWS,False,0,0,0,5,0,0,0,19,0.0,0.0,True
WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,True,0,0,0,8,0,0,0,53,0.0,0.0,True
FREE RANGE GOOD,FREE RANGE GOOD,False,0,0,0,3,0,0,0,15,0.0,0.0,True
