target,prediction,is_homophone,cosine_similarity
THE ROCHELLE TO MY MARVIN,THE ROSEHELLE TO MY MERVYN,True,0.2003
SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SHE'S GOT THE BEST TOPLINE IN THE BUSINESS,True,0.9589
I'VE BEEN WAXED,I'VE BEEN WACKED,True,0.3689
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False,0.6802
SOME BURN BRIGHTLY FOR A YEAR OR TWO,SUMMER BRIGHTLY FOR A YEAR OR TWO,True,0.612
IN VICTORIAN BRITAIN,INVICTORIAN BRITAIN,True,0.5564
MAYBE NOT URANIUM,MAYBE NOT URIANIA,True,0.2453
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTINGLY COME IN THE STUDIO,True,0.7978
NEUTRONS AND ELECTRONS,NUTRONS AND ELECTRONS,False,0.5998
STRETCHING BACK 3,STRETCHING BACK THREE,False,0.9722
PONDERING THE IMMENSITY,PONDERING THE IMMANENCE,False,0.7096
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT,False,0.3072
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,True,0.5166
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False,0.8808
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO WRECK A FIRE ONGS,True,0.6068
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAY JUST GOT WEIRD AND WEIRDER,True,0.9892
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,True,0.9028
AND WITH STEALTH,AND WITH STELLA,False,0.5516
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QWEEN MARY AND THE QUEEN ELIZABETH,True,0.8693
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR NHS,True,0.6825
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,True,0.7935
WITH THAT FLOURISH,WITH THAT FLURRY,False,0.459
BY SOME MIRACLE,BUY SOME MIRACLE,True,0.6179
WITH THEIR DATABASE,WITH THEIR DATA BASE,True,0.8679
GET A NEW LOYAL CUSTOMER AND DEBENHAMS,GET A NEW LOYAL CUSTOMER AND DEBINOMES,True,0.7947
I HONESTLY DON'T KNOW WHAT TO DO,HONESTLY DON'T KNOW WHAT TO DO,True,0.9381
AS THE MORNING SPREAD UPON THE MOUNTAINS,AS THE MORNING SPREAD UP ON THE MOUNTAINS,True,0.9754
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION,True,0.6359
