target,prediction,category
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTË SISTERS,Other
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARATIME MEMORABILIA,Other
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD,Lexical
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 9/11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,Other
CHILD OF THE MILLENNIUM,CHILD OF THE MOLYNEUX,Other
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FAMILIAL CHOREOGRAPHY EVER SEEN ON THE BOX,Lexical
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,Homophone
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DELICATE ALUMNI,Lexical
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY TO,Homophone
I HASTEN TO ADD,I HESITANT TO AD,Lexical
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,Other
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE,Other
THE ROCHELLE TO MY MARVIN,THE ROSEHELLE TO MY MERVYN,Other
SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SHE'S GOT THE BEST TOPLINE IN THE BUSINESS,Other
I'VE BEEN WAXED,I'VE BEEN WACKED,Other
IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,Other
SOME BURN BRIGHTLY FOR A YEAR OR TWO,SUMMER BRIGHTLY FOR A YEAR OR TWO,Homophone
IN VICTORIAN BRITAIN,INVICTORIAN BRITAIN,Other
MAYBE NOT URANIUM,MAYBE NOT URIANIA,Other
BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTINGLY COME IN THE STUDIO,Lexical
NEUTRONS AND ELECTRONS,NUTRONS AND ELECTRONS,Other
STRETCHING BACK 3,STRETCHING BACK THREE,Other
PONDERING THE IMMENSITY,PONDERING THE IMMANENCE,Lexical
IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT,Lexical
BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,Lexical
DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,Other
PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO WRECK A FIRE ONGS,Other
THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAY JUST GOT WEIRD AND WEIRDER,Contextual
IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,Other
AND WITH STEALTH,AND WITH STELLA,Lexical
THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QWEEN MARY AND THE QUEEN ELIZABETH,Other
AND MORE MONEY FOR FIFA,AND MORE MONEY FOR NHS,Other
THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,Other
WITH THAT FLOURISH,WITH THAT FLURRY,Lexical
BY SOME MIRACLE,BUY SOME MIRACLE,Homophone
WITH THEIR DATABASE,WITH THEIR DATA BASE,Other
GET A NEW LOYAL CUSTOMER AND DEBENHAMS,GET A NEW LOYAL CUSTOMER AND DEBINOMES,Other
I HONESTLY DON'T KNOW WHAT TO DO,HONESTLY DON'T KNOW WHAT TO DO,Contextual
AS THE MORNING SPREAD UPON THE MOUNTAINS,AS THE MORNING SPREAD UP ON THE MOUNTAINS,Other
AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION,Other
