STATUS | HOMO | PREDICTED | TARGET
WRONG | - | I have a gun | EXCEPTIONALLY GOOD QUALITY
WRONG | H | Marrow | THE MORE EFFICIENT
WRONG | H | I hear word predator zero | IF THERE WERE PREDATORS HERE
WRONG | H | Very early | A VERY EARLY CLOCK
WRONG | - | I think I saw a sandal | IT'S LIKE A SUNDIAL
WRONG | H | I want to know what you think | IF WE CAN DO A DEAL WITH THEM TO GET A COUPLE OF NEW TRAINS
WRONG | H | Which roll is sad | WHICH IS REALLY SAD
WRONG | - | And then he said, 'I'm not done yet.' | AND IT HAS SPAWNED A THOUSAND IMITATIONS
WRONG | H | Anderson is handsome. | UNDERNEATH A SUBURBAN HOUSE IN MARGATE
WRONG | H | Avery is a bat | I WORRY ABOUT IT A LOT
WRONG | H | This is a test | ANY THAT THERE IS
WRONG | H | And people roll in. | AND PEOPLE REALLY DO ACTUALLY RESPECT IT
WRONG | H | This is a ball. | THEY'LL GET THAT NICE LITTLE BALD PATCH AT THEIR BASE AND
WRONG | H | All the land is owned by the people | I'LL BE FINDING OUT WHY
WRONG | H | And Faked Wild Dried | AND IN FACT WE DID A BIT OF RESEARCH LATELY AND
WRONG | - | Begreyland | BECAUSE GREATER LONDON IS NOW FORMED ON ITS OWN COUNTY
WRONG | H | Methos gets along with his friends. | MATT'S GETTING A LESSON IN A TRADITIONAL CRAFT
WRONG | H | WILLINGHAM | WE'LL BE CATCHING UP WITH HIM IN A WHILE
WRONG | H | Make friends with me | MACKEREL FISHING HAS LONG BEEN ONE OF THE MOST PROFITABLE INDUSTRIES IN THE UK
WRONG | - | This mall is where I shop. | THIS MULTI MILLION POUND BUSINESS IS UNDER THREAT
WRONG | H | This is a hip song. | TOM HEAP IS IN SCOTLAND
WRONG | H | bat works well | BUT ACROSS THE WORLD
WRONG | H | Nathan | NOT THAT WELL KNOWN IN SURREY
WRONG | H | Yes, I'm a bird. | YOU'VE CAUGHT US ON A BREAD AND BUTTER DAY TODAY
WRONG | H | overlase | OVER THE LAST FEW WEEKS
WRONG | H | Saritan | SORRY TO INTERRUPT YOU
WRONG | H | Still falter, date, and die. | THEY STILL FOLLOW THE SAME ROUTES THAT THEY DID BEFORE
WRONG | H | I am very worried. | I'M VERY EXCITED ABOUT YOU WEAVING SOME OF MY WOOL HERE
WRONG | H | And God said, 'Let there be light.' | AND THAT'S GOOD NEWS FOR THE WOOL OFF MY SHEEP'S BACKS
WRONG | H | I don't know how to spell that | CHILDREN IN NEED SUPPORTS ALL KINDS OF YOUNG PEOPLE
WRONG | H | Yes, I am sorry. I am not sure. I am not sure. I am not sure. I am not sure. I am not sure. I am not sure. I am not sure. I am not sure. I am not | YOUR YOUR GENEROSITY IS VITAL TO THAT WORK
WRONG | H | Sow him a room and a wand. | SO HERE IS A REMINDER OF HOW YOU CAN BUY THE COUNTRYFILE CALENDAR AND DO YOUR BIT ONCE AGAIN
WRONG | H | Where's the king? | WE'RE GOING TO KEEP DOING WHAT DOING
WRONG | H | Still going to town, then going to the train station, then going to the airport, then going to the airport. | STILL GOING TO NEED TO TRAIN OFFICERS
WRONG | H | bat awn dh awn win | BUT OUT HERE ON THE 1
WRONG | - | Satisfy pick a by | THE SATELLITE PICTURE IS A BEAUTY
WRONG | - | What kind of wand | WE'VE KIND OF WALKED AWAY
WRONG | - | Dare to be different | THE DORKING IS A RARE BREED
WRONG | H | What words are in the English language? | THE WET WEATHER ALL SPIRALLING AROUND THE AREA OF LOW PRESSURE AND THEY COULD BE HEAVY SHOWERS
WRONG | H | What sound is this? | WE SHOULD AVOID A FROST
WRONG | H | Samwich | SOME OF WHICH COULD BE HEAVY
WRONG | H | Sammy bought a battery | SOMETHING BRIGHTER AND WE COULD GET SOME AUTUMN SUNSHINE
WRONG | - | I am a lawyer. | LOTS OF SHOWERS ALONG THE COAST OF NORTH EAST ENGLAND
WRONG | H | And back | AND BACK IN THE DAY
WRONG | H | Ray Ann Hand Afford Bay Sting | RAIN ON AND OFF THROUGH THE DAY ACCOMPANIED BY STRONG
WRONG | - | This is a test of the emergency broadcast system. | THE TRENCHES GAVE A LOT OF PROTECTION
WRONG | H | This is a test of the emergency broadcast system. | THERE WAS A PSYCHOLOGICAL DIMENSION TO THE SAFETY
WRONG | H | Molly, I love you. | MILLIONS OR BILLIONS OF YEARS
WRONG | H | Very weak | VERY WEAK GRAVITY
WRONG | H | Yes, can you send the same? | YOU CAN SEE SOMETHING LIKE 20 INDIVIDUAL SITES ON THE COMET THAT ARE THE SOURCE OF THESE JETS
WRONG | H | Kanishka is a nice guy. | COMETS CAN BE EXCITING AND
WRONG | - | This is a sentence. | THE SUN'S HEAT WILL HEAT THE SURFACE AND
WRONG | - | Bake a smile on your face | BECAUSE IT'S MOSTLY COMPOSED OF ICE
WRONG | H | And what is it? | AND WHEN IT'S IN THE NIGHT SIDE OF THE COMET
WRONG | H | bat bow wall tray hand fond heart talk | BUT BEFORE WE ACTUALLY TRY AND FIND COMET HARTLEY 2
WRONG | H | Bathardon Derek Turret Weyt Weyt HAV T Faur Darksay T Kin Paspabl Iy0 | BUT IN ORDER TO DO THAT WE'RE GOING TO HAVE TO WAIT FOR THE SKY TO GET AS DARK AS IT CAN POSSIBLY
WRONG | H | This is a test | THAT'S GOING TO BE A MANIC DAY
WRONG | - | Let's room member | LET'S REMEMBER THAT
WRONG | - | This is a test. | LISA TALKING ABOUT THE FACT HE IS INDECISIVE
WRONG | - | Oh, key me a message. | OK MASTER BEDROOM
WRONG | H | This is a test | IT DOESN'T HAVE THEM
WRONG | H | This is a sentence. | THAT'S NOT A DEAL BREAKER
WRONG | H | I want to buy a car | I THINK IF A ONE BED HAD THE RIGHT SORT OF WOW FACTOR
WRONG | H | This is a test. | IT'S ONLY ABOUT FOUR YEARS OLD
WRONG | H | Yuck, I hate that! | YOU FACTORED THAT IN
WRONG | H | You know it | YOU KNOW IT'S THERE
WRONG | - | This is a roll of bills | IT'S A REALLY BIG FLAT
WRONG | H | Bin Den Roll In | BEEN DONE REALLY NICELY
WRONG | - | This is a small talk. | THAT'S A LOCAL LINE
WRONG | H | I have a nice day | IF YOU'RE WATCHING AND YOU NEED A MAN TO BE THE STANDARD BEARER THE 2012 OLYMPICS BECAUSE OF MY
WRONG | H | And IYPALHOTWUMWALKTBPARTAHNKSST | AND IF YOU PEOPLE AT HOME WOULD LIKE TO BE PART OF NEXT TIME
WRONG | H | Where's Andrew's book | WHERE WE CAN SHOW OFF AND BE LIKE
WRONG | - | This is a test | THIS IS WHAT WE'RE ABOUT
WRONG | - | This is a test | THAT'S THE WORST PART
WRONG | - | Don't worry about it. | THEY WANT THREE BEDROOMS MINIMUM
WRONG | H | very much father bird | IS VERY MUCH THE FAIRIES IN THE BOTTOM OF THE GARDEN
WRONG | - | Lend a hand | LADIES AND GENTLEMEN
WRONG | H | My best friend Matt forgot to go to the store. | MAYBE IT'S THE ENVIRONMENT THAT FAIRIES MIGHT GO TO
WRONG | H | Way down in the valley, they say, there's a place called Nowhere | WHY DON'T YOU STICK TO WHAT YOU KNOW THEN
WRONG | H | <SOS> John heard a roar <space> Kite landed <space> Simon played soccer <space> <EOS> | GEORGE CLARKE SIMPSON
WRONG | H | Where are you? | WAS BORN RIGHT HERE IN DERBY
WRONG | H | Well, I'm going to Spain | WELCOME TO SPONDON
WRONG | H | What is the value of the function? | WE HAVE A LOT OF FUN
WRONG | H | Very hard work | VERY CLEVER WITH THE WORDS THERE
WRONG | - | <SOS> send and send <EOS> | CENTRAL AND CENTRAL
WRONG | H | bat duck | BUT THE QUESTION IS
WRONG | H | A row of forks | OFF ROAD PARKING FOR TWO CARS
WRONG | H | Fairy" "Walter" "Yowtoking" "Ahobat" "Walter" "Walter" "Walter" "Walter" "Walter" "Walter" "Walter" "Walter | FAIRIES WHAT ARE YOU TALKING ABOUT
WRONG | H | All right, let's go. | I ABSOLUTELY HATE IT
WRONG | H | Akin Rememberr | I CAN'T REMEMBER WHAT IT IS
WRONG | H | A word and a world | I WONDER WHERE I MIGHT HANG MY ART COLLECTION
WRONG | H | Dharma, Arman, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh, Dharmesh | THEY ARE IMAGINING THEMSELVES IN THIS PROPERTY
WRONG | H | This is a phone. | THE WHOLE HOUSE NEEDS FRESHENING UP
WRONG | H | Hug the bone, add the bone | HERE WE GO ADDED BONUS THERE
WRONG | H | Aid the wounded | I DID ONCE AT A PARTY
WRONG | H | Don't you want to make a mark? | DON'T KNOW HOW MUCH IT WOULD IMPACT ON THE ROOM
WRONG | H | bat yuk | BUT YOU COULD DO IT
WRONG | H | I had a duck | IF YOU COULD DO THAT
WRONG | H | WILL | WE WILL SEE YOU LATER ON
WRONG | H | I have a friend | IF YOU SEE ANY FAIRIES
WRONG | H | thingy very much | THANK YOU VERY MUCH
WRONG | H | This is a sentence. | THIS IS SOMETHING THEY HAVEN'T DONE YET THEY HAVE IMAGINED THEIR FURNITURE
WRONG | H | Satan's last test | ON THAT LAST STATEMENT
WRONG | - | And Dan My Name Is Dennis Porter Autw | AND THE MAN IS EXPANDING THE PROPERTY OUT
WRONG | H | You don't have to do this. | YOU'D HOPE TO SEE ONE IN THE HOUSE
WRONG | H | <SOS> you may win <EOS> | YOU CHOSE MY ONE
WRONG | H | I have a plan to help you. | IF YOU'D LIKE JONNIE AND I TO MAYBE HELP YOU FIND THE PROPERTY OF YOUR DREAMS
WRONG | H | A spell of sunshine | I SHALL SPEND SOME OF THE MONEY
WRONG | H | NATWIZHON | NOT WHAT IS IN THE HEART
WRONG | - | I'm a smart kid. | THE MERCHANTS SIMPLY THOUGHT THAT BECAUSE IT CAME FROM THE EAST
WRONG | - | I talk to a keymaker | IT ALL CAME FROM JAPAN
WRONG | - | The door is open. | TOWARDS THE END OF THE 19TH CENTURY THOUGH
WRONG | H | Let me tell you about the bank's new credit card. | LITERALLY MILLIONS OF BIKES BEING CHURNED OUT IN THE LOCAL INDUSTRIES HAD TO BE DECORATED
WRONG | - | May I borrow a book | MAINLY DARK BLACK
WRONG | - | What's the talk about banks? | WELL TALKING ABOUT BIKES
WRONG | H | What's the weather today? | WE WERE TALKING ABOUT PAPIER MACHE TODAY OVER AT BANTOCK HOUSE IN WOLVERHAMPTON
WRONG | H | What happened to the door? | 110 IN THE DOORWAY
WRONG | H | Bake the house | BECAUSE TO SURVIVE THEY HAD TO FIGHT
WRONG | H | Why is Benham in the house? | WE'VE BEEN ENEMIES IN THE PAST
WRONG | H | bat attack bomb button bat defend door | BUT ACTUALLY THERE'S MORE BETWEEN US THAN DIVIDES US
WRONG | H | What's the deal? | HE WOULD FIGHT TILL THE END
WRONG | - | Searthonlandindianarmykantrowishon | CERTAINLY WITHOUT THE INDIAN ARMY CONTRIBUTION AND
WRONG | - | And the word was made flesh | AND THIS IS HOW THEY WERE TREATED
WRONG | H | And then the people heard the words | AND TO PUSH UP ITALY TOWARDS THE HEARTLAND OF EUROPE
WRONG | - | PARTAKE | PART OF THAT ACTUALLY
WRONG | - | Anderton Lion Guard | AND CERTAINLY HIS GRANDFATHER
WRONG | - | Hospotar | HAD THE SUPPORT
WRONG | H | A woman wants bad bat. | I WOULDN'T SAY HE WAS BAD BUT HE WAS NOT
WRONG | - | AFTER | AFTER THE MARRIAGE
WRONG | H | My shoe is ready. | MAKE SURE YOU'RE TREATING PEOPLE RIGHT
WRONG | H | The dog ate the apple. | TO ENABLE THAT HE'D PICK THEM ALL UP
WRONG | H | May I have a ball of yarn. | WHO MIGHT BE ABLE TO GET THAT VEGETABLE OR THAT FRUIT SENT OVER AND THEN THERE WAS A FUNERAL
WRONG | H | I have a man in my house | IT STARTED TO BUILD MORE AND MORE AND MORE
WRONG | H | What's your name? | IT WAS MORE ATTRACTIVE FOR PEOPLE TO COME TO THIS AREA BECAUSE THEY COULD SEE THEIR OTHER NEEDS
WRONG | H | WINDY | WE NEED ONE PLACE
WRONG | H | Dawn's Sally | THE COUNCIL SAY
WRONG | H | MAY JAB WAZ TUG WIND MAY GRANDAD | MY JOB WAS TO GO WITH MY GRANDDAD
WRONG | H | Hatter was arrested | HOW TO WRITE BASIC ARABIC
WRONG | H | I have a ball | ENOUGH TO BE ABLE TO READ THE KORAN AND ALSO HAVE ISLAMIC BASIC EDUCATION ON ISLAM
WRONG | H | I love men but not bats. | LOVELY MAN BUT GOT INVOLVED IN SO MANY THINGS WITHOUT BEING
WRONG | H | Mummy, I'm hungry. | THE MAJORITY OF THEIR FAMILY WAS BACK HOME
WRONG | H | So I'd like to know how to do it. | SO IF THEY DIED OVER HERE
WRONG | H | What's the weather like? | OF WHICH WE HAD TO DEAL WITH A COUPLE OF CASES
WRONG | H | Wanna | WHEN I WAS ON MY WAY TO SCHOOL
WRONG | H | Aidan rolled a ball | I DON'T REALLY BLAME HER FOR SAYING STUFF LIKE THAT BECAUSE THE MEDIA PORTRAYS US IN A WAY WHERE
WRONG | H | Sow a lot of seeds | SO WE HAVE LECTURES IN SOMALI NOW
WRONG | H | Look for the ark | LECTURES IN ARABIC
WRONG | H | I found a wallet in the hall. | IF ONLY THAT COULD BE PALESTINE NOW
